"wy_simple","wym","cod_cuenca","pr","tem"
1979,6,"6003001",233.047,-0.967
1979,7,"6003001",50.4,3.594
1979,8,"6003001",117.005,5.844
1979,9,"6003001",98.914,8.105
1979,10,"6003001",3.929,9.583
1979,11,"6003001",34.454,8.795
1979,12,"6003001",0.013,11.757
1979,1,"6008005",19.574,8.846
1979,2,"6008005",149.084,3.977
1979,3,"6008005",13.887,0.231
1979,4,"6008005",336.247,2.339
1979,5,"6008005",346.839,2.944
1979,6,"6008005",224.685,0.598
1979,7,"6008005",52.663,5.122
1979,8,"6008005",113.933,7.581
1979,9,"6008005",88.589,9.727
1979,10,"6008005",7.955,11.204
1979,11,"6008005",33.719,10.525
1979,12,"6008005",0.052,12.822
1979,1,"6013001",18.664,10.281
1979,2,"6013001",201.288,6.395
1979,3,"6013001",19.601,2.679
1979,4,"6013001",402.106,4.234
1979,5,"6013001",400.155,4.911
1979,6,"6013001",298.781,2.954
1979,7,"6013001",36.613,7.222
1979,8,"6013001",109.151,9.777
1979,9,"6013001",57.983,12.234
1979,10,"6013001",5.047,14.43
1979,11,"6013001",30.036,14.119
1979,12,"6013001",0,15.019
1979,1,"6027001",13.012,11.793
1979,2,"6027001",182.699,8.262
1979,3,"6027001",19.683,5.714
1979,4,"6027001",428.103,6.785
1979,5,"6027001",371.034,6.328
1979,6,"6027001",266.512,4.78
1979,7,"6027001",39.076,9.146
1979,8,"6027001",105.647,12.057
1979,9,"6027001",69.54,14.58
1979,10,"6027001",1.69,16.823
1979,11,"6027001",52.457,15.873
1979,12,"6027001",2.242,16.463
1979,1,"6028001",11.444,8.663
1979,2,"6028001",202.647,4.265
1979,3,"6028001",13.862,0.679
1979,4,"6028001",466.625,2.21
1979,5,"6028001",398.157,2.55
1979,6,"6028001",284.029,0.399
1979,7,"6028001",54.566,5.164
1979,8,"6028001",117.867,7.748
1979,9,"6028001",89.972,9.937
1979,10,"6028001",3.031,11.707
1979,11,"6028001",47.461,11.054
1979,12,"6028001",0.023,13.049
1979,1,"7103001",16.031,10.822
1979,2,"7103001",217.273,6.298
1979,3,"7103001",22.703,2.594
1979,4,"7103001",569.543,4.272
1979,5,"7103001",432.761,4.676
1979,6,"7103001",300.339,2.96
1979,7,"7103001",48.797,7.235
1979,8,"7103001",144.247,9.589
1979,9,"7103001",109.037,11.605
1979,10,"7103001",0.871,15.479
1979,11,"7103001",72.244,14.527
1979,12,"7103001",14.915,15.377
1979,1,"7104002",13.854,10.349
1979,2,"7104002",207.914,5.668
1979,3,"7104002",19.706,2.153
1979,4,"7104002",537.876,3.82
1979,5,"7104002",410.664,4.053
1979,6,"7104002",303.538,2.095
1979,7,"7104002",61.264,6.543
1979,8,"7104002",143.44,9.158
1979,9,"7104002",117.633,11.078
1979,10,"7104002",2.198,14.218
1979,11,"7104002",69.983,13.461
1979,12,"7104002",8.37,14.849
1979,1,"7112001",11.965,9.235
1979,2,"7112001",248.861,4.241
1979,3,"7112001",21.98,0.355
1979,4,"7112001",651.813,2.549
1979,5,"7112001",454.7,3.114
1979,6,"7112001",308.508,0.9
1979,7,"7112001",49.894,5.259
1979,8,"7112001",152.704,7.195
1979,9,"7112001",112.022,9.106
1979,10,"7112001",0.765,12.979
1979,11,"7112001",77.014,12.368
1979,12,"7112001",15.464,13.696
1979,1,"7115001",18.896,10.169
1979,2,"7115001",250.583,5.336
1979,3,"7115001",26.011,1.46
1979,4,"7115001",688.011,3.594
1979,5,"7115001",458.01,4.188
1979,6,"7115001",310.043,2.202
1979,7,"7115001",45.522,6.399
1979,8,"7115001",166.291,8.332
1979,9,"7115001",112.526,10.368
1979,10,"7115001",0.194,13.993
1979,11,"7115001",85.388,13.511
1979,12,"7115001",17.867,14.716
1979,1,"7117008",14.381,10.293
1979,2,"7117008",234.275,5.615
1979,3,"7117008",23.219,1.868
1979,4,"7117008",636.346,3.932
1979,5,"7117008",442.416,4.47
1979,6,"7117008",295.221,2.546
1979,7,"7117008",41.42,6.799
1979,8,"7117008",152.496,8.788
1979,9,"7117008",100.358,10.859
1979,10,"7117008",0.609,14.6
1979,11,"7117008",76.525,13.893
1979,12,"7117008",15.413,14.895
1979,1,"7317005",20.428,9.749
1979,2,"7317005",245.847,3.719
1979,3,"7317005",47.165,-0.455
1979,4,"7317005",727.741,1.361
1979,5,"7317005",459.116,2.563
1979,6,"7317005",229.522,1.308
1979,7,"7317005",21.303,5.516
1979,8,"7317005",124.887,7.717
1979,9,"7317005",104.564,10.622
1979,10,"7317005",1.24,15.348
1979,11,"7317005",113.419,13.817
1979,12,"7317005",18.713,14.611
1979,1,"7321002",16.678,9.62
1979,2,"7321002",226.984,4.101
1979,3,"7321002",37.918,0.533
1979,4,"7321002",668.103,2.472
1979,5,"7321002",427.988,3.011
1979,6,"7321002",228.864,1.373
1979,7,"7321002",23.874,5.653
1979,8,"7321002",122.266,7.8
1979,9,"7321002",96.591,10.126
1979,10,"7321002",1.455,14.653
1979,11,"7321002",87.189,13.447
1979,12,"7321002",12.216,14.465
1979,1,"7330001",42.165,11.666
1979,2,"7330001",271.748,7.451
1979,3,"7330001",58.724,3.769
1979,4,"7330001",690.286,5.155
1979,5,"7330001",542.702,6.135
1979,6,"7330001",254.294,5.21
1979,7,"7330001",32.473,9.081
1979,8,"7330001",156.264,11.896
1979,9,"7330001",167.634,14.911
1979,10,"7330001",0.005,17.701
1979,11,"7330001",226.613,16.254
1979,12,"7330001",21.236,15.972
1979,1,"7350003",38.743,10.402
1979,2,"7350003",270.606,5.979
1979,3,"7350003",56.972,2.338
1979,4,"7350003",745.481,3.733
1979,5,"7350003",537.887,4.305
1979,6,"7350003",260.036,2.986
1979,7,"7350003",27.082,6.91
1979,8,"7350003",156.914,9.689
1979,9,"7350003",156.299,12.975
1979,10,"7350003",0.005,16.22
1979,11,"7350003",188.351,14.756
1979,12,"7350003",23.647,14.949
1979,1,"7354002",36.089,11.391
1979,2,"7354002",264.085,7.108
1979,3,"7354002",53.902,3.817
1979,4,"7354002",737.869,5.281
1979,5,"7354002",538.874,5.795
1979,6,"7354002",263.413,4.701
1979,7,"7354002",18.737,8.333
1979,8,"7354002",169.449,10.928
1979,9,"7354002",149.762,14.072
1979,10,"7354002",0.013,17.39
1979,11,"7354002",148.94,15.972
1979,12,"7354002",27.919,15.886
1979,1,"7355002",34.26,11.512
1979,2,"7355002",257.343,7.183
1979,3,"7355002",51.146,4.351
1979,4,"7355002",773.917,5.892
1979,5,"7355002",547.907,5.924
1979,6,"7355002",271.568,5.15
1979,7,"7355002",13.545,8.894
1979,8,"7355002",175.865,11.572
1979,9,"7355002",148.874,14.645
1979,10,"7355002",0.004,17.924
1979,11,"7355002",130.458,16.55
1979,12,"7355002",26.5,16.339
1979,1,"7358001",28.596,13.383
1979,2,"7358001",154.964,9.811
1979,3,"7358001",35.895,6.354
1979,4,"7358001",519.764,8.15
1979,5,"7358001",375.421,9.113
1979,6,"7358001",181.142,8.888
1979,7,"7358001",8.764,12.489
1979,8,"7358001",135.329,15.006
1979,9,"7358001",102.353,17.664
1979,10,"7358001",0,20.441
1979,11,"7358001",80.375,19.296
1979,12,"7358001",18.162,18.218
1979,1,"7381001",23.622,14.56
1979,2,"7381001",79.427,11.084
1979,3,"7381001",23.087,7.559
1979,4,"7381001",376.261,8.783
1979,5,"7381001",158.613,10.521
1979,6,"7381001",92.412,10.533
1979,7,"7381001",0.612,13.577
1979,8,"7381001",71.332,15.818
1979,9,"7381001",45.495,19.167
1979,10,"7381001",0,22.094
1979,11,"7381001",21.477,20.96
1979,12,"7381001",2.605,19.718
1979,1,"8104001",32.259,10.032
1979,2,"8104001",252.961,4.476
1979,3,"8104001",54.361,0.528
1979,4,"8104001",717.486,2.167
1979,5,"8104001",478.697,3.095
1979,6,"8104001",231.609,2.08
1979,7,"8104001",31.596,6.423
1979,8,"8104001",129.792,8.876
1979,9,"8104001",140.75,12.516
1979,10,"8104001",0.554,16.29
1979,11,"8104001",177.138,14.693
1979,12,"8104001",22.59,14.906
1979,1,"8106001",36.675,10.198
1979,2,"8106001",276.042,4.951
1979,3,"8106001",61.916,1.384
1979,4,"8106001",710.345,2.925
1979,5,"8106001",514.337,3.379
1979,6,"8106001",237.266,2.493
1979,7,"8106001",36.895,6.664
1979,8,"8106001",132.637,9.007
1979,9,"8106001",158.543,12.648
1979,10,"8106001",0.052,16.173
1979,11,"8106001",226.653,14.609
1979,12,"8106001",19.254,14.85
1980,1,"3414001",60.558,4.053
1980,2,"3414001",9.715,2.523
1980,3,"3414001",4.494,3.543
1980,4,"3414001",30.124,2.875
1980,5,"3414001",19.127,1.07
1980,6,"3414001",4.124,2.06
1980,7,"3414001",6.626,5.045
1980,8,"3414001",0.678,5.793
1980,9,"3414001",0.156,8.172
1980,10,"3414001",0,10.079
1980,11,"3414001",12.684,11.387
1980,12,"3414001",0.244,9.158
1980,1,"3421001",87.16,4.096
1980,2,"3421001",17.032,2.437
1980,3,"3421001",4.027,3.832
1980,4,"3421001",39.592,2.109
1980,5,"3421001",19.62,0.315
1980,6,"3421001",7.519,1.103
1980,7,"3421001",4.503,4.634
1980,8,"3421001",0.551,5.387
1980,9,"3421001",0.15,7.376
1980,10,"3421001",0.219,9.104
